,Avg,Max,Min
Tirana,15.2,24.0,6.7
Andorra la Vella,9.8,18.8,2.2
Vienna,10.4,20.8,0.3
Minsk,6.7,18.5,-4.5
Brussels,10.5,18.4,3.3
Sarajevo,10.1,19.7,-0.5
Sofia,10.6,21.2,-0.5
Zagreb,10.7,20.6,0.3
Split,16.1,25.7,8.0
Nicosia,19.7,29.7,10.6
Prague,8.4,18.2,-1.4
Copenhagen,9.1,18.1,1.4
Tallinn,5.9,17.2,-4.3
Helsinki,5.9,17.8,-4.7
Kuopio,3.4,17.5,-9.2
Oulu,2.7,16.5,-9.6
Marseille,15.8,24.5,8.4
Paris,12.3,20.4,4.9
Berlin,10.3,20.3,0.6
Frankfurt,10.6,20.0,1.6
Piraeus,19.4,29.0,11.1
Budapest,11.3,21.5,0.4
Reykjavík,4.3,10.6,-0.5
Dublin,9.8,15.6,5.3
Milan,13.0,23.6,2.5
Palermo,18.5,26.2,12.5
Rome,15.2,24.5,7.5
Napoli,15.9,24.7,8.7
Riga,6.2,16.9,-4.7
Vaduz,10.1,19.0,0.8
Vilnius,6.0,16.9,-6.1
Luxembourg City,9.3,18.2,0.8
Skopje,12.4,23.8,0.1
Valletta,18.8,26.7,12.8
Chișinău,10.2,22.1,-1.9
Monaco,16.4,24.2,10.2
Podgorica,15.3,26.0,5.0
Amsterdam,10.2,17.6,3.4
Bergen,7.7,14.5,1.5
Oslo,5.7,16.4,-4.3
Tromsø,2.9,11.8,-3.8
Cracow,9.3,20.0,-1.0
Suwałki,7.2,18.1,-3.3
Warsaw,8.5,19.2,-1.8
Wrocław,9.6,19.7,0.0
Lisbon,17.5,23.5,11.6
Bucharest,10.8,22.5,-1.3
Arkhangelsk,1.3,16.3,-12.7
Moscow,5.8,19.2,-6.7
Murmansk,0.6,12.8,-10.1
Rostov-on-Don,9.9,23.4,-3.0
Saint Petersburg,5.8,18.8,-5.8
Sochi,14.2,23.6,6.0
City of San Marino,11.8,21.4,2.7
Belgrade,12.5,23.0,1.4
Bratislava,10.5,21.3,-0.4
Ljubljana,10.9,21.3,0.3
Barcelona,18.2,26.1,11.8
Las Palmas de Gran Canaria,21.2,24.6,18.1
Madrid,15.0,25.6,6.3
Seville,19.2,28.2,11.0
Valencia,18.3,26.1,11.8
Stockholm,6.6,17.2,-3.0
Zürich,9.3,18.6,0.3
Istanbul,13.9,23.1,5.7
Kiev,8.4,20.5,-3.5
Lviv,7.8,18.3,-3.1
Odessa,10.7,22.6,-0.5
Edinburgh,9.3,15.3,4.2
London,10.3,17.3,4.3
