Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Algeria,Algiers,11.2,11.9,12.8,14.7,17.7,21.3,24.6,25.2,23.2,19.4,15.2,12.1,17.4
,,-52.2,-53.4,-55,-58.5,-63.9,-70.3,-76.3,-77.4,-73.8,-66.9,-59.4,-53.8,-63.3
Algeria,Tamanrasset,12.8,15,18.1,22.2,26.1,28.9,28.7,28.2,26.5,22.4,17.3,13.9,21.7
,,-55,-59,-64.6,-72,-79,-84,-83.7,-82.8,-79.7,-72.3,-63.1,-57,-71.1
Algeria,Reggane,16,18.2,23.1,27.9,32.2,36.4,39.8,38.4,35.5,29.2,22,17.8,28.3
,,-60.8,-64.8,-73.6,-82.2,-90,-97.5,-103.6,-101.1,-95.9,-84.6,-71.6,-64,-82.9
Angola,Luanda,26.7,28.5,28.6,28.2,27,23.9,22.1,22.1,23.5,25.2,26.7,26.9,25.8
,,-80.1,-83.3,-83.5,-82.8,-80.6,-75,-71.8,-71.8,-74.3,-77.4,-80.1,-80.4,-78.4
Benin,Cotonou,27.3,28.5,28.9,28.6,27.8,26.5,25.8,25.6,26,26.7,27.6,27.3,27.2
,,-81.1,-83.3,-84,-83.5,-82,-79.7,-78.4,-78.1,-78.8,-80.1,-81.7,-81.1,-81
Benin,Parakou,26.5,28.7,29.6,29,27.5,26.1,25.1,24.7,25,26.1,26.6,26.1,26.8
,,-79.7,-83.7,-85.3,-84.2,-81.5,-79,-77.2,-76.5,-77,-79,-79.9,-79,-80.2
Benin,Kandi,24.9,27.8,30.9,32.1,30.4,28.1,26.4,26,26.2,27.8,26.5,24.8,27.7
,,-76.8,-82,-87.6,-89.8,-86.7,-82.6,-79.5,-78.8,-79.2,-82,-79.7,-76.6,-81.9
Botswana,Maun,25.4,25.1,24.2,22.6,18.7,15.7,15.8,18.8,23.1,26.6,26.4,25.8,22.4
,,-77.7,-77.2,-75.6,-72.7,-65.7,-60.3,-60.4,-65.8,-73.6,-79.9,-79.5,-78.4,-72.3
Botswana,Gaborone,26,25,24,21,17,13,13,17,21,23,25,25,21
,,-79,-77,-75,-70,-63,-55,-55,-63,-70,-73,-77,-77,-70
Botswana,Ghanzi,25.9,25.3,24.1,21.2,17.6,14.3,14.1,17.1,21.5,24.6,25.7,26.1,21.4
,,-78.6,-77.5,-75.4,-70.2,-63.7,-57.7,-57.4,-62.8,-70.7,-76.3,-78.3,-79,-70.5
Burkina Faso,Ouagadougou,24.8,27.7,30.9,32.6,31.6,29.2,27.3,26.4,27,28.9,27.7,25.1,28.3
,,-76.6,-81.9,-87.6,-90.7,-88.9,-84.6,-81.1,-79.5,-80.6,-84,-81.9,-77.2,-82.9
Burkina Faso,Ouahigouya,24.2,27.1,30.4,33,33.2,30.8,27.9,27.2,27.8,29.6,27.4,24.6,28.6
,,-75.6,-80.8,-86.7,-91.4,-91.8,-87.4,-82.2,-81,-82,-85.3,-81.3,-76.3,-83.5
Burundi,Bujumbura,23.8,23.8,23.7,23.9,23.9,23.3,22.9,24,24.7,24.6,23.4,23.6,23.8
