Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Albania,Tirana,6.7,7.8,10,13.4,18,21.6,24,23.8,20.7,16,11.7,8.1,15.2,[182]
,,-44.1,-46,-50,-56.1,-64.4,-70.9,-75.2,-74.8,-69.3,-60.8,-53.1,-46.6,-59.4,
Andorra,Andorra la Vella,2.2,3.5,5.8,7.5,11.5,15.4,18.8,18.5,14.9,10.3,5.7,3,9.8,[183]
,,-36,-38.3,-42.4,-45.5,-52.7,-59.7,-65.8,-65.3,-58.8,-50.5,-42.3,-37.4,-49.6,
Austria,Vienna,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4,[184]
,,-32.5,-34.7,-42.3,-51.3,-60.3,-65.7,-69.4,-68.4,-59.7,-50.4,-41.2,-34,-50.7,
Belarus,Minsk,-4.5,-4.4,0,7.2,13.3,16.4,18.5,17.5,12.1,6.6,0.6,-3.4,6.7,[185]
,,-23.9,-24.1,-32,-45,-55.9,-61.5,-65.3,-63.5,-53.8,-43.9,-33.1,-25.9,-44.1,
Belgium,Brussels,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18,14.9,11.1,6.8,3.9,10.5,[186]
,,-37.9,-38.7,-44.2,-49.6,-56.5,-61.2,-65.1,-64.4,-58.8,-52,-44.2,-39,-50.9,
Bosnia and Herzegovina,Sarajevo,-0.5,1.4,5.7,10,14.8,17.7,19.7,19.7,15.3,11,5.4,0.9,10.1,[187]
,,-31.1,-34.5,-42.3,-50,-58.6,-63.9,-67.5,-67.5,-59.5,-51.8,-41.7,-33.6,-50.2,
Bulgaria,Sofia,-0.5,1.1,5.4,10.6,15.4,18.9,21.2,21,16.5,11.3,5.1,0.7,10.6,[188]
,,-31.1,-34,-41.7,-51.1,-59.7,-66,-70.2,-69.8,-61.7,-52.3,-41.2,-33.3,-51.1,
Croatia,Zagreb,0.3,2.3,6.4,10.7,15.8,18.8,20.6,20.1,15.9,10.5,5,1.4,10.7,[189]
,,-32.5,-36.1,-43.5,-51.3,-60.4,-65.8,-69.1,-68.2,-60.6,-50.9,-41,-34.5,-51.3,
