Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Australia,Adelaide,23.2,23.3,20.9,17.6,13.5,12.1,11.4,12.4,14.4,16.7,19.7,21.3,17.3,
,,-73.8,-73.9,-69.6,-63.7,-56.3,-53.8,-52.5,-54.3,-57.9,-62.1,-67.5,-70.3,-63.1,
Australia,Alice Springs,28,27,25,20,15,12,11,14,18,22,25,27,21,
,,-82,-81,-77,-68,-59,-54,-52,-57,-64,-72,-77,-81,-70,
Australia,Brisbane,25.8,25.7,24.5,22.3,19.1,16.8,16,17,19.7,21.7,23.5,24.8,21.4,
,,-78.4,-78.3,-76.1,-72.1,-66.4,-62.2,-60.8,-62.6,-67.5,-71.1,-74.3,-76.6,-70.5,
Australia,Cairns,27,27,26,25,23,21,21,22,23,25,26,27,25,
,,-81,-81,-79,-77,-73,-70,-70,-72,-73,-77,-79,-81,-77,
Australia,Canberra,20.6,20.1,17.6,13.4,9.4,6.7,5.7,7,9.8,12.8,15.8,18.8,13.1,
,,-69.1,-68.2,-63.7,-56.1,-48.9,-44.1,-42.3,-44.6,-49.6,-55,-60.4,-65.8,-55.6,
Australia,Dampier,31,31.3,30.9,28.6,24.1,20.9,19.8,21.2,23.7,26.2,28.3,30.2,26.4,
,,-87.8,-88.3,-87.6,-83.5,-75.4,-69.6,-67.6,-70.2,-74.7,-79.2,-82.9,-86.4,-79.5,
Australia,Darwin,28.3,28.1,28.3,28.4,27.1,25.3,25,25.9,27.8,29.1,29.3,29,27.6,
,,-82.9,-82.6,-82.9,-83.1,-80.8,-77.5,-77,-78.6,-82,-84.4,-84.7,-84.2,-81.7,
Australia,Hobart,16.8,16.9,15.6,13.2,10.8,8.6,8.2,9.2,10.8,12.4,14,15.6,12.7,
,,-62.2,-62.4,-60.1,-55.8,-51.4,-47.5,-46.8,-48.6,-51.4,-54.3,-57.2,-60.1,-54.9,
Australia,Melbourne,20.1,20.2,18.6,15.6,12.7,10.5,9.8,10.9,12.7,14.7,16.6,18.6,15.1,
,,-68.2,-68.4,-65.5,-60.1,-54.9,-50.9,-49.6,-51.6,-54.9,-58.5,-61.9,-65.5,-59.2,
Australia,Perth,24.5,24.9,23.1,19.7,16.5,14,13,13.5,14.8,17.3,20.3,22.7,18.7,
,,-76.1,-76.8,-73.6,-67.5,-61.7,-57.2,-55.4,-56.3,-58.6,-63.1,-68.5,-72.9,-65.7,
Australia,Sydney,22.3,22.3,21.2,18.5,15.5,13.1,12.2,13.4,15.5,17.8,19.6,21.3,17.7,
,,-72.1,-72.1,-70.2,-65.3,-59.9,-55.6,-54,-56.1,-59.9,-64,-67.3,-70.3,-63.9,
Chile,Hanga Roa,23.3,23.7,23.1,21.9,20.1,18.9,18,17.9,18.3,19,20.4,21.8,20.5,
,,-73.9,-74.7,-73.6,-71.4,-68.2,-66,-64.4,-64.2,-64.9,-66.2,-68.7,-71.2,-68.9,
Fiji,Suva,27.4,27.6,26.4,26.6,25.4,24.6,23.8,23.7,24.1,25.1,26.1,26.9,25.6,
,,-81.3,-81.7,-79.5,-79.9,-77.7,-76.3,-74.8,-74.7,-75.4,-77.2,-79,-80.4,-78.1,
New Zealand,Auckland,19.1,19.7,18.4,16.1,14,11.8,10.9,11.3,12.7,14.2,15.7,17.8,15.2,
,,-66.4,-67.5,-65.1,-61,-57.2,-53.2,-51.6,-52.3,-54.9,-57.6,-60.3,-64,-59.4,
New Zealand,Christchurch,17.5,17.2,15.5,12.7,9.8,7.1,6.6,7.9,10.3,12.2,14.1,16.1,12.2,
