Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Argentina,Bahía Blanca,23.6,22.1,19.4,14.9,11.1,8.1,7.5,9.4,11.6,15.1,18.7,22,15.3
,,-74.5,-71.8,-66.9,-58.8,-52,-46.6,-45.5,-48.9,-52.9,-59.2,-65.7,-71.6,-59.5
Argentina,Bariloche,15,14.8,11.9,7.9,4.9,2.9,2.1,3,5.1,8,10.8,13.5,8.3
,,-59,-58.6,-53.4,-46.2,-40.8,-37.2,-35.8,-37.4,-41.2,-46.4,-51.4,-56.3,-46.9
Argentina,Buenos Aires,24.9,23.6,21.9,17.9,14.5,11.7,11,12.8,14.6,17.9,20.7,23.3,17.9
,,-76.8,-74.5,-71.4,-64.2,-58.1,-53.1,-51.8,-55,-58.3,-64.2,-69.3,-73.9,-64.2
Argentina,Comodoro Rivadavia,19.7,18.8,16.3,13.1,9.6,6.9,6.6,7.9,10.1,13,15.9,18.2,13
,,-67.5,-65.8,-61.3,-55.6,-49.3,-44.4,-43.9,-46.2,-50.2,-55.4,-60.6,-64.8,-55.4
Argentina,Córdoba,24.9,23.1,21.7,18,14.5,11.4,10.8,13.3,15.7,19.5,21.8,23.7,18.2
,,-76.8,-73.6,-71.1,-64.4,-58.1,-52.5,-51.4,-55.9,-60.3,-67.1,-71.2,-74.7,-64.8
Argentina,Mar del Plata,20.4,19.8,18.2,14.5,11.2,8.4,7.5,8.8,10.4,13.3,15.9,18.5,13.9
,,-68.7,-67.6,-64.8,-58.1,-52.2,-47.1,-45.5,-47.8,-50.7,-55.9,-60.6,-65.3,-57
Argentina,Mendoza,25.5,24,21.3,16.2,11.8,8.4,7.9,10.6,13.9,18.8,22.2,24.9,17.1
,,-77.9,-75.2,-70.3,-61.2,-53.2,-47.1,-46.2,-51.1,-57,-65.8,-72,-76.8,-62.8
Argentina,Neuquén,23.7,22.3,18.9,13.4,9.2,6.6,5.8,8.1,11.4,15.6,19.4,22.4,14.7
,,-74.7,-72.1,-66,-56.1,-48.6,-43.9,-42.4,-46.6,-52.5,-60.1,-66.9,-72.3,-58.5
Argentina,Resistencia,26.8,25.9,24.6,21.2,17.6,15.4,14.8,16.7,18.5,21.8,23.6,25.8,21.1
,,-80.2,-78.6,-76.3,-70.2,-63.7,-59.7,-58.6,-62.1,-65.3,-71.2,-74.5,-78.4,-70
Argentina,Río Gallegos,13.8,13.2,10.8,7.6,4.2,1.4,1.2,3.1,5.7,8.4,11.1,12.8,7.8
,,-56.8,-55.8,-51.4,-45.7,-39.6,-34.5,-34.2,-37.6,-42.3,-47.1,-52,-55,-46
Argentina,Rosario,24.6,23.2,21.4,17.3,13.8,10.7,10,12.1,14.5,18.1,21,23.4,17.5
,,-76.3,-73.8,-70.5,-63.1,-56.8,-51.3,-50,-53.8,-58.1,-64.6,-69.8,-74.1,-63.5
Argentina,Salta,21.4,20.3,19.5,16.6,13.1,10.6,10.1,12.7,15.1,19.1,20.5,21.5,16.7
,,-70.5,-68.5,-67.1,-61.9,-55.6,-51.1,-50.2,-54.9,-59.2,-66.4,-68.9,-70.7,-62.1
Argentina,San Juan,27.1,25.5,22.8,17.2,12.2,8.3,7.7,10.6,14.4,19.8,23.4,26.3,17.9
,,-80.8,-77.9,-73,-63,-54,-46.9,-45.9,-51.1,-57.9,-67.6,-74.1,-79.3,-64.2
Argentina,San Miguel,25.2,24,22.6,19.2,15.7,12.7,12.2,14.9,17.8,21.8,23.4,24.9,19.5
,de Tucumán,-77.4,-75.2,-72.7,-66.6,-60.3,-54.9,-54,-58.8,-64,-71.2,-74.1,-76.8,-67.1
Argentina,Santiago del Estero,26.7,25.5,23.8,19.8,16.1,12.7,12.2,15.3,18.5,22.7,24.8,26.5,20.4
,,-80.1,-77.9,-74.8,-67.6,-61,-54.9,-54,-59.5,-65.3,-72.9,-76.6,-79.7,-68.7
Argentina,Ushuaia,9.6,9.3,7.7,5.7,3.2,1.7,1.3,2.2,4.1,6.2,7.8,9.1,5.7
,,-49.3,-48.7,-45.9,-42.3,-37.8,-35.1,-34.3,-36,-39.4,-43.2,-46,-48.4,-42.3
Argentina,Viedma,22.1,20.8,18.3,13.8,9.9,7.2,6.6,8.2,10.5,14.3,17.7,20.6,14.2
,,-71.8,-69.4,-64.9,-56.8,-49.8,-45,-43.9,-46.8,-50.9,-57.7,-63.9,-69.1,-57.6
Bolivia,La Paz,9.3,9,8.9,8.8,8.2,7.3,6.8,8.2,8.7,10,10.5,9.7,8.8
,,-48.7,-48.2,-48,-47.8,-46.8,-45.1,-44.2,-46.8,-47.7,-50,-50.9,-49.5,-47.8
Bolivia,Santa Cruz de la Sierra,26.8,26.6,26.2,24.7,22.8,20.4,21.1,23,25.2,26.4,27.1,27,24.8
,,-80.2,-79.9,-79.2,-76.5,-73,-68.7,-70,-73.4,-77.4,-79.5,-80.8,-80.6,-76.6
Bolivia,Sucre,16.2,15.7,15.8,15.5,14.9,13.8,13.9,14.9,16.2,16.9,17.3,16.7,15.6
,,-61.2,-60.3,-60.4,-59.9,-58.8,-56.8,-57,-58.8,-61.2,-62.4,-63.1,-62.1,-60.1
Brazil,Belém,25.6,25.4,25.5,25.6,25.8,26,25.7,26,26,26.4,26.5,26.2,25.9
,,-78.1,-77.7,-77.9,-78.1,-78.4,-78.8,-78.3,-78.8,-78.8,-79.5,-79.7,-79.2,-78.6
Brazil,Belo Horizonte,22.8,23,22.9,21.7,19.6,18.5,18,19.7,21.1,21.7,22.2,22.2,21.1
,,-73,-73.4,-73.2,-71.1,-67.3,-65.3,-64.4,-67.5,-70,-71.1,-72,-72,-70
Brazil,Brasília,21.2,21.3,21.5,20.9,19.6,18.5,18.3,20.3,21.7,21.6,21.1,21,20.6
,,-70.2,-70.3,-70.7,-69.6,-67.3,-65.3,-64.9,-68.5,-71.1,-70.9,-70,-69.8,-69.1
Brazil,Campos do Jordão,17.3,17.5,16.7,14.7,11.9,10.1,9.5,11.3,13.4,14.9,15.9,16.6,14.2
,,-63.1,-63.5,-62.1,-58.5,-53.4,-50.2,-49.1,-52.3,-56.1,-58.8,-60.6,-61.9,-57.6
Brazil,Curitiba,20.4,20.6,19.6,17.2,14.5,13.1,12.9,14.1,15,16.5,18.2,19.3,16.8
,,-68.7,-69.1,-67.3,-63,-58.1,-55.6,-55.2,-57.4,-59,-61.7,-64.8,-66.7,-62.2
Brazil,Florianópolis,24.9,25.1,24.5,22.2,19.2,17.2,16.4,17,18.3,20.3,22.2,24,20.9
,,-76.8,-77.2,-76.1,-72,-66.6,-63,-61.5,-62.6,-64.9,-68.5,-72,-75.2,-69.6
Brazil,Fortaleza,27.1,26.9,26.4,26.2,26.2,25.8,25.6,26,26.4,26.9,27.2,27.3,26.6
,,-80.8,-80.4,-79.5,-79.2,-79.2,-78.4,-78.1,-78.8,-79.5,-80.4,-81,-81.1,-79.9
Brazil,Goiânia,23.8,23.8,24,23.6,22.2,20.9,20.9,23,24.5,24.6,24.1,23.5,23.2
,,-74.8,-74.8,-75.2,-74.5,-72,-69.6,-69.6,-73.4,-76.1,-76.3,-75.4,-74.3,-73.8
Brazil,Manaus,26.1,25.9,26,26.2,26.2,26.4,26.5,27.3,27.7,27.7,27.2,26.6,26.7
,,-79,-78.6,-78.8,-79.2,-79.2,-79.5,-79.7,-81.1,-81.9,-81.9,-81,-79.9,-80.1
Brazil,Porto Alegre,24.6,24.6,23.1,19.9,16.9,14.3,14.4,15.2,16.8,19.1,21.2,23.3,19.5
,,-76.3,-76.3,-73.6,-67.8,-62.4,-57.7,-57.9,-59.4,-62.2,-66.4,-70.2,-73.9,-67.1
Brazil,Recife,26.5,26.5,26.4,25.9,25.2,24.5,23.9,23.9,24.6,25.5,26.1,26.4,25.5
,,-79.7,-79.7,-79.5,-78.6,-77.4,-76.1,-75,-75,-76.3,-77.9,-79,-79.5,-77.9
Brazil,Rio de Janeiro,26.3,26.6,26,24.4,22.8,21.8,21.3,21.8,22.2,22.9,24,25.3,23.8
,,-79.3,-79.9,-78.8,-75.9,-73,-71.2,-70.3,-71.2,-72,-73.2,-75.2,-77.5,-74.8
Brazil,Salvador,26.4,26.5,26.6,26.2,25.2,24.3,23.7,23.6,24.3,25.1,25.5,25.9,25.3
,,-79.5,-79.7,-79.9,-79.2,-77.4,-75.7,-74.7,-74.5,-75.7,-77.2,-77.9,-78.6,-77.5
Brazil,São Joaquim,16.8,17.1,15.9,13.2,11.4,9.7,9.8,10.7,12,12.8,14.4,16,13.3
,,-62.2,-62.8,-60.6,-55.8,-52.5,-49.5,-49.6,-51.3,-53.6,-55,-57.9,-60.8,-55.9
Brazil,São Paulo,22.1,22.4,21.8,19.7,17.4,16.3,15.8,17.1,17.9,19,20.2,21.1,19.2
,,-71.8,-72.3,-71.2,-67.5,-63.3,-61.3,-60.4,-62.8,-64.2,-66.2,-68.4,-70,-66.6
Brazil,Vitória,26.9,27.4,27.1,25.9,24,22.8,22.4,22.6,23.2,24.3,24.9,26,24.8
,,-80.4,-81.3,-80.8,-78.6,-75,-73,-72.3,-72.7,-73.8,-75.7,-76.8,-79,-76.6
Chile,Antofagasta,20.2,20,19.1,17.1,15.5,14.2,13.7,14,14.7,15.8,17.3,18.9,16.7
