,Name,Country,Population
155,Guatemala City,Guatemala,2983174
156,Surabaya,Indonesia,2972091
157,Lisbon,Portugal,2971587
158,Caracas,Venezuela,2945858
159,Zhongshan,China,2941522
160,Nagpur,India,2940487
161,Shizuoka,Japan,2930341
162,Dubai,United Arab Emirates,2921376
163,Ouagadougou,Burkina Faso,2914619
164,Lusaka,Zambia,2905993
165,Coimbatore,India,2860445
166,Port-au-Prince,Haiti,2843925
167,Depok,Indonesia,2836941
168,Handan,China,2824345
169,Incheon,South Korea,2818288
170,Cali,Colombia,2809508
171,Algiers,Algeria,2809158
172,Huaian,China,2770106
173,Manchester,United Kingdom,2750120
174,Goiania,Brazil,2747887
175,Weifang,China,2746160
176,Taibei,Taiwan,2731208
177,Bamako,Mali,2713230
178,Thiruvananthapuram,India,2690703
179,Zibo,China,2685108
180,Chicago,United States,2679080
181,Sapporo,Japan,2670121
182,Pretoria,South Africa,2655282
183,Mbuji-Mayi,DR Congo,2642794
184,Shaoxing,China,2633145
185,Birmingham,United Kingdom,2626374
186,Yantai,China,2609465
187,Bandung,Indonesia,2606850
188,Vancouver,Canada,2606351
189,Huizhou,China,2605871
190,Lubumbashi,DR Congo,2584133
191,Accra,Ghana,2556972
192,Tashkent,Uzbekistan,2545159
193,Toluca de Lerdo,Mexico,2522407
194,Patna,India,2481530
195,Brazzaville,Republic of the Congo,2469630
196,Luoyang,China,2461883
197,Bhopal,India,2446882
198,San Juan,Puerto Rico,2445462
199,Damascus,Syria,2439814
200,Brisbane,Australia,2439467
201,Beirut,Lebanon,2434609
202,Tunis,Tunisia,2402680
203,Tangerang,Indonesia,2397447
204,Mogadishu,Somalia,2387920
205,Baku,Azerbaijan,2370776
206,Medan,Indonesia,2368348
207,Belem,Brazil,2360474
208,Nantong,China,2351145
209,Sendai,Japan,2334959
210,Houston,United States,2323660
211,Manaus,Brazil,2302374
212,Barranquilla,Colombia,2299186
213,Maracaibo,Venezuela,2296118
214,Gujranwala,Pakistan,2290461
215,Rawalpindi,Pakistan,2280733
216,Peshawar,Pakistan,2272812
217,Taoyuan,Taiwan,2271507
218,Agra,India,2261561
219,Hohhot,China,2239344
220,Baotou,China,2238823
221,Vadodara,India,2232521
222,Kannur,India,2226693
223,Liuzhou,China,2226508
224,Visakhapatnam,India,2225906
225,Xuzhou,China,2193219
226,Daegu,South Korea,2190571
227,Naples,Italy,2182885
228,Amman,Jordan,2182151
229,Tijuana,Mexico,2181104
230,Esfahan,Iran,2176927
231,Phnom Penh,Cambodia,2143591
232,Havana,Cuba,2142866
233,Nashik,India,2123018
234,Grande Vitoria,Brazil,2109869
235,Vijayawada,India,2104113
236,Brussels,Belgium,2095688
237,Mecca,Saudi Arabia,2078766
238,Hiroshima,Japan,2077569
239,Perth,Australia,2067333
240,Multan,Pakistan,2059534
241,Yangzhou,China,2039472
242,Minsk,Belarus,2038822
243,Bursa,Turkey,2021116
244,Baoding,China,2019960
245,Aleppo,Syria,2003671
246,Putian,China,2002884
247,Taizhou Zhejiang,China,1992626
248,Conakry,Guinea,1991134
249,Linyi Shandong,China,1984133
250,Wuhu Anhui,China,1960681
251,Vienna,Austria,1944910
252,Kollam,India,1940571
253,Valencia,Venezuela,1934891
254,Rajkot,India,1933522
255,Haikou,China,1931705
256,Almaty,Kazakhstan,1927623
257,Baixada Santista,Brazil,1911338
258,Yancheng Jiangsu,China,1907903
259,Daqing,China,1907293
260,Rabat,Morocco,1907071
261,West Yorkshire,United Kingdom,1901947
262,Semarang,Indonesia,1901570
263,Quito,Ecuador,1900571
264,Panama City,Panama,1899081
265,Hyderabad,Pakistan,1886734
266,Ludhiana,India,1885456
267,La Paz,Bolivia,1881796
268,Lianyungang,China,1877847
269,Lome,Togo,1874394
270,Davao City,Philippines,1866401
271,Leon de los Aldamas,Mexico,1848932
272,Zhuhai,China,1803711
273,Turin,Italy,1795235
274,Bucharest,Romania,1794248
