,Name,Country,Population
0,Tokyo,Japan,37339804
1,Delhi,India,31181376
2,Shanghai,China,27795702
3,Sao Paulo,Brazil,22237472
4,Mexico City,Mexico,21918936
5,Dhaka,Bangladesh,21741090
6,Cairo,Egypt,21322750
7,Beijing,China,20896820
8,Mumbai,India,20667656
9,Osaka,Japan,19110616
10,Karachi,Pakistan,16459472
11,Chongqing,China,16382376
12,Istanbul,Turkey,15415197
13,Buenos Aires,Argentina,15257673
14,Kolkata,India,14974073
15,Kinshasa,DR Congo,14970460
16,Lagos,Nigeria,14862111
17,Manila,Philippines,14158573
18,Tianjin,China,13794450
19,Guangzhou,China,13635397
20,Rio de Janeiro,Brazil,13544462
21,Lahore,Pakistan,13095166
22,Bangalore,India,12764935
23,Moscow,Russia,12593252
24,Shenzhen,China,12591696
25,Chennai,India,11235018
26,Bogota,Colombia,11167392
27,Paris,France,11078546
28,Jakarta,Indonesia,10915364
29,Lima,Peru,10882757
30,Bangkok,Thailand,10722815
31,Hyderabad,India,10268653
32,Seoul,South Korea,9967677
33,Nagoya,Japan,9565642
34,London,United Kingdom,9425622
35,Chengdu,China,9305116
36,Tehran,Iran,9259009
37,Nanjing,China,9143980
38,Ho Chi Minh City,Vietnam,8837544
39,Luanda,Angola,8631876
40,Wuhan,China,8473405
41,Xi-an Shaanxi,China,8274651
42,Ahmedabad,India,8253226
43,New York City,United States,8230290
44,Kuala Lumpur,Malaysia,8210745
