,Avg,Max,Min
Kabul,12.1,25.0,-2.3
Baku,15.1,26.4,4.2
Yerevan,12.4,26.4,-3.6
Manama,26.5,34.2,17.2
Dhaka,25.9,29.0,18.6
Phnom Penh,28.3,30.2,26.3
Beijing,12.9,26.7,-3.1
Changsha,17.4,29.2,4.9
Chongqing,18.6,28.6,8.0
Guangzhou,22.4,28.9,13.9
Harbin,5.0,23.3,-17.6
Kunming,15.7,20.5,9.1
Lhasa,7.6,15.5,-2.1
Shanghai,16.7,28.4,4.6
Ürümqi,7.4,23.9,-12.1
Xi'an,14.1,27.0,0.3
Yinchuan,9.0,23.5,-7.9
Dili,26.6,27.7,25.1
Batumi,14.0,22.0,6.0
Tbilisi,12.9,24.5,1.2
Hong Kong,23.3,28.8,16.3
New Delhi,25.0,34.0,13.8
Kolkata,26.7,31.3,20.1
Mumbai,27.1,29.9,23.7
Jakarta,26.7,27.2,26.1
Denpasar,23.7,24.8,22.5
Jayapura,27.0,27.3,26.4
Makassar,26.7,27.7,25.6
Medan,26.5,27.3,25.6
Palembang,27.3,28.0,26.8
Pontianak,27.7,28.3,26.9
Surabaya,27.1,28.3,26.2
Baghdad,22.77,34.8,9.7
Erbil,19.5,32.9,6.2
Tehran,17.0,31.0,1.0
Ahvaz,25.4,37.3,12.3
Tabriz,12.6,26.0,-1.7
Tel Aviv,20.0,26.0,12.0
Sapporo,8.9,22.3,-3.6
Niigata,13.9,26.6,2.8
Tokyo,15.4,26.4,5.2
Kyoto,15.8,28.2,4.6
Hiroshima,16.3,28.2,5.2
Fukuoka,17.0,28.1,6.6
Naha,23.1,28.9,17.0
Almaty,10.0,23.8,-4.7
Nur-Sultan,3.5,20.8,-14.2
Pyongyang,10.8,24.6,-5.8
Seoul,12.5,25.7,-2.4
Kuwait City,25.7,37.7,12.5
Bishkek,11.3,24.9,-2.6
Vientiane,25.9,28.5,21.7
Beirut,20.9,27.8,14.0
Kuala Lumpur,27.3,28.0,26.7
Malé,28.0,28.9,27.5
Ulaanbaatar,-0.4,18.2,-21.6
Mandalay,28.0,31.9,21.9
Yangon,27.5,30.6,25.0
Kathmandu,18.3,24.1,10.0
Muscat,28.0,35.0,21.0
Karachi,26.0,31.4,18.1
Lahore,24.3,33.9,12.8
Manila,28.4,30.1,26.7
Dikson,-11.1,5.5,-25.4
Irkutsk,1.0,18.3,-17.8
Novosibirsk,1.7,19.4,-16.5
Petropavlovsk-,1.9,12.5,-7.6
Vladivostok,4.9,19.8,-12.3
Yakutsk,-8.8,19.5,-38.6
Abha,18.0,23.0,13.0
Riyadh,26.0,36.0,14.0
Singapore,27.0,28.0,26.0
Colombo,27.4,28.3,26.6
Damascus,17.0,27.3,6.1
Dushanbe,14.7,27.1,2.1
Taipei,23.0,29.6,16.1
Bangkok,28.6,30.5,26.5
Chiang Mai,25.8,29.3,21.4
Hat Yai,27.0,28.0,25.6
Nakhon Ratchasima,27.3,30.0,23.6
Ankara,12.0,23.6,0.4
Erzurum,5.1,18.7,-10.2
İzmir,17.9,28.0,8.9
Ashgabat,17.1,31.3,3.5
Dubai,26.9,34.4,18.7
Tashkent,14.8,27.8,1.9
Da Lat,17.9,19.3,15.8
Da Nang,25.8,29.3,21.5
Hanoi,23.6,29.2,16.4
Ho Chi Minh City,27.4,29.2,26.0
Aden,29.1,32.7,25.7
Sana'a,20.0,24.0,15.0
