,Avg,Max,Min
St. John's,26.9,28.3,25.2
Oranjestad,28.1,29.2,26.7
Nassau,24.6,27.9,21.1
Bridgetown,27.0,27.8,25.7
Belize City,26.7,28.5,24.0
Hamilton,22.3,27.6,18.0
Calgary,4.4,16.5,-7.1
Edmonton,4.2,17.7,-10.4
Gjoa Haven,-14.4,8.0,-34.0
Halifax,7.5,19.1,-4.1
Iqaluit,-9.3,8.2,-27.5
Moncton,6.1,19.5,-8.2
Montreal,6.8,21.2,-9.7
Ottawa,6.6,21.2,-10.2
Saskatoon,3.3,19.0,-13.9
St. John's,5.0,16.1,-4.9
Toronto,9.4,22.3,-3.7
Vancouver,10.4,18.0,3.6
Winnipeg,3.0,19.7,-16.4
Whitehorse,-0.1,14.3,-15.2
Yellowknife,-4.3,17.0,-25.6
George Town,27.9,29.7,25.8
San José,22.6,23.7,21.8
Havana,25.2,27.9,22.2
Willemstad,28.0,29.1,26.6
Roseau,26.2,27.4,24.8
Santo Domingo,25.9,27.1,24.4
Nuuk,-1.4,6.5,-8.0
La Ceiba,26.2,28.2,23.8
Tegucigalpa,21.7,23.6,19.5
Kingston,27.4,28.9,25.8
Cabo San Lucas,23.9,29.0,19.2
Chihuahua,18.6,26.3,10.0
Guadalajara,20.9,24.5,17.1
La Paz,23.7,30.2,17.4
Mexicali,23.1,33.9,13.1
Mexico City,17.5,20.0,14.6
Monterrey,22.3,28.6,14.4
Tijuana,17.8,22.8,13.6
Toluca,12.4,14.8,8.9
Veracruz,25.4,28.1,21.5
Villahermosa,27.1,29.6,23.6
Managua,27.3,29.3,26.2
Panama City,28.0,28.0,27.0
San Salvador,23.1,24.5,22.0
San Juan,27.2,28.7,24.8
Saint-Pierre,5.7,16.2,-3.2
Albuquerque,14.0,25.7,2.4
Anchorage,2.8,14.9,-8.3
Atlanta,17.0,26.9,6.4
Austin,20.7,29.9,10.8
Baltimore,13.1,25.3,0.8
Boise,11.4,24.3,-0.7
Boston,10.9,23.2,-1.5
Charlotte,16.1,26.4,5.1
Chicago,9.8,23.3,-4.6
Columbus,11.7,23.8,-1.6
Dallas,19.0,29.8,7.7
Denver,10.4,23.4,-0.9
Detroit,10.0,23.0,-3.7
El Paso,18.1,28.2,7.2
Fairbanks,-2.3,17.1,-21.9
Fresno,17.9,28.3,8.1
Houston,20.8,29.0,11.5
Indianapolis,11.8,24.2,-2.2
Jacksonville,20.3,27.9,11.7
Kansas City,12.5,25.7,-1.8
Las Vegas,20.3,33.2,8.2
Lake Havasu City,23.7,36.1,11.7
Los Angeles,18.6,23.5,14.2
Louisville,13.9,25.7,1.1
Memphis,17.2,28.2,5.2
Miami,24.9,28.9,19.9
Milwaukee,8.9,22.3,-5.2
Minneapolis,7.8,23.2,-9.1
Nashville,15.4,26.6,3.4
New Orleans,20.7,28.2,11.6
New York City,12.9,24.9,0.6
Oklahoma,15.9,27.8,3.6
Omaha,10.6,24.8,-4.6
Palm Springs,24.5,33.8,15.7
Philadelphia,13.2,25.6,0.5
Phoenix,23.9,34.9,13.1
Pittsburgh,10.8,22.7,-1.9
Portland OR,12.4,20.9,4.7
Sacramento,16.3,24.2,8.0
Salt Lake,11.6,26.1,-1.3
San Antonio,20.8,29.7,11.0
San Diego,17.8,22.2,13.9
San,14.6,17.5,11.2
San Jose,16.4,21.8,10.6
Seattle,11.3,18.8,4.7
St. Louis,13.9,26.7,-0.1
Tampa,22.9,28.3,15.9
Tucson,20.9,30.8,11.3
Virginia,15.8,26.7,4.9
"Washington,",14.6,26.6,2.3
Wichita,13.9,27.3,0.1
