,Avg,Max,Min
Bahía Blanca,15.3,23.6,7.5
Bariloche,8.3,15.0,2.1
Buenos Aires,17.9,24.9,11.0
Comodoro Rivadavia,13.0,19.7,6.6
Córdoba,18.2,24.9,10.8
Mar del Plata,13.9,20.4,7.5
Mendoza,17.1,25.5,7.9
Neuquén,14.7,23.7,5.8
Resistencia,21.1,26.8,14.8
Río Gallegos,7.8,13.8,1.2
Rosario,17.5,24.6,10.0
Salta,16.7,21.5,10.1
San Juan,17.9,27.1,7.7
San Miguel,19.5,25.2,12.2
Santiago del Estero,20.4,26.7,12.2
Ushuaia,5.7,9.6,1.3
Viedma,14.2,22.1,6.6
La Paz,8.8,10.5,6.8
Santa Cruz de la Sierra,24.8,27.1,20.4
Sucre,15.6,17.3,13.8
Belém,25.9,26.5,25.4
Belo Horizonte,21.1,23.0,18.0
Brasília,20.6,21.7,18.3
Campos do Jordão,14.2,17.5,9.5
Curitiba,16.8,20.6,12.9
Florianópolis,20.9,25.1,16.4
Fortaleza,26.6,27.3,25.6
Goiânia,23.2,24.6,20.9
Manaus,26.7,27.7,25.9
Porto Alegre,19.5,24.6,14.3
Recife,25.5,26.5,23.9
Rio de Janeiro,23.8,26.6,21.3
Salvador,25.3,26.6,23.6
São Joaquim,13.3,17.1,9.7
São Paulo,19.2,22.4,15.8
Vitória,24.8,27.4,22.4
Antofagasta,16.7,20.2,13.7
Concepción,12.4,16.5,8.8
La Serena,13.6,17.1,10.7
Punta Arenas,6.1,10.8,1.4
Santiago,14.7,21.2,8.2
Bogotá,14.4,15.0,14.1
Barranquilla,27.4,28.1,26.5
Medellín,22.5,23.1,21.8
Guayaquil,26.5,28.0,25.0
Quito,14.4,15.0,14.0
Stanley,5.6,9.5,1.9
Cayenne,26.7,27.3,26.2
Georgetown,26.8,27.6,26.1
Asunción,22.7,27.5,17.6
Cusco,12.5,13.6,10.8
Lima,19.2,22.7,16.2
Piura,24.5,27.8,21.8
Paramaribo,26.8,27.9,26.0
Montevideo,16.7,23.0,10.9
Caracas,22.0,23.2,20.2
